product_key,product_name,category,subcategory,cost,last_sale_date,recency_months,product_segment,lifespan_months,total_orders,total_sales,total_quantity,total_customers,avg_selling_price,avg_order_value,avg_monthly_revenue
3,Sport-100 Helmet- Red,Accessories,Helmets,13,2014-01-28,144,High_Performer,14,2230,78050,2230,2147,35,35,5575
4,Sport-100 Helmet- Black,Accessories,Helmets,13,2014-01-28,144,High_Performer,14,2085,72975,2085,2024,35,35,5212.5
7,Sport-100 Helmet- Blue,Accessories,Helmets,13,2014-01-28,144,High_Performer,14,2124,74375,2125,2049,35,35.02,5312.5
8,AWC Logo Cap,Clothing,Caps,7,2014-01-28,144,Mid_range,13,2190,19710,2190,2132,9,9,1516.15
9,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,38,2014-01-28,144,Mid_range,13,429,21450,429,426,50,50,1650
10,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,38,2014-01-28,144,Mid_range,14,442,22100,442,436,50,50,1578.57
11,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,38,2014-01-28,144,Mid_range,14,452,22650,453,449,50,50.11,1617.86
12,Long-Sleeve Logo Jersey- XL,Clothing,Jerseys,38,2014-01-28,144,Mid_range,13,413,20700,414,409,50,50.12,1592.31
45,Road-150 Red- 62,Bikes,Road Bikes,2171,2011-12-28,169,High_Performer,12,336,1202208,336,336,3578,3578,100184
46,Road-150 Red- 44,Bikes,Road Bikes,2171,2011-12-28,169,High_Performer,12,281,1005418,281,281,3578,3578,83784.83
47,Road-150 Red- 48,Bikes,Road Bikes,2171,2011-12-28,169,High_Performer,12,337,1205786,337,337,3578,3578,100482.17
48,Road-150 Red- 52,Bikes,Road Bikes,2171,2011-12-27,169,High_Performer,12,302,1080556,302,302,3578,3578,90046.33
49,Road-150 Red- 56,Bikes,Road Bikes,2171,2011-12-27,169,High_Performer,12,295,1055510,295,295,3578,3578,87959.17
55,Road-650 Red- 58,Bikes,Road Bikes,487,2012-12-18,158,High_Performer,23,74,56346,74,74,761.4,761.43,2449.83
56,Road-650 Red- 60,Bikes,Road Bikes,487,2012-12-23,157,Mid_range,23,53,40071,53,53,756.1,756.06,1742.22
57,Road-650 Red- 62,Bikes,Road Bikes,487,2012-12-05,158,High_Performer,23,75,57381,75,75,765.1,765.08,2494.83
58,Road-650 Red- 44,Bikes,Road Bikes,487,2012-12-25,157,High_Performer,24,72,54528,72,72,757.3,757.33,2272
59,Road-650 Red- 48,Bikes,Road Bikes,487,2012-12-27,157,High_Performer,24,88,66720,88,88,758.2,758.18,2780
60,Road-650 Red- 52,Bikes,Road Bikes,487,2012-12-21,158,Mid_range,24,61,46083,61,61,755.5,755.46,1920.13
61,Road-650 Black- 58,Bikes,Road Bikes,487,2012-12-18,158,High_Performer,24,76,57996,76,76,763.1,763.11,2416.5
62,Road-650 Black- 60,Bikes,Road Bikes,487,2012-12-12,158,High_Performer,23,76,57156,76,76,752.1,752.05,2485.04
63,Road-650 Black- 62,Bikes,Road Bikes,487,2012-12-18,158,Mid_range,24,65,49047,65,65,754.6,754.57,2043.63
64,Road-650 Black- 44,Bikes,Road Bikes,487,2012-12-26,157,Mid_range,24,63,47565,63,63,755,755,1981.88
65,Road-650 Black- 48,Bikes,Road Bikes,487,2012-12-25,157,Mid_range,21,60,45552,60,60,759.2,759.2,2169.14
66,Road-650 Black- 52,Bikes,Road Bikes,487,2012-12-19,158,High_Performer,23,89,66915,89,89,751.9,751.85,2909.35
67,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,2011-12-22,170,High_Performer,12,58,197200,58,58,3400,3400,16433.33
68,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,2011-12-28,169,High_Performer,12,42,142800,42,42,3400,3400,11900
69,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,2011-12-12,170,High_Performer,12,49,166600,49,49,3400,3400,13883.33
70,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,2011-12-23,169,High_Performer,12,36,122400,36,36,3400,3400,10200
71,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,2011-12-27,169,High_Performer,12,49,165375,49,49,3375,3375,13781.25
72,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,2011-12-27,169,High_Performer,12,45,151875,45,45,3375,3375,12656.25
73,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,2011-12-21,170,High_Performer,12,60,202500,60,60,3375,3375,16875
74,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,2011-12-26,169,High_Performer,12,57,192375,57,57,3375,3375,16031.25
75,Mountain-200 Silver- 38,Bikes,Mountain Bikes,1266,2013-12-28,145,High_Performer,24,596,1339394,596,583,2247.3,2247.31,55808.08
76,Mountain-200 Silver- 42,Bikes,Mountain Bikes,1266,2013-12-28,145,High_Performer,24,560,1257368,560,547,2245.3,2245.3,52390.33
77,Mountain-200 Silver- 46,Bikes,Mountain Bikes,1266,2013-12-28,145,High_Performer,24,579,1298709,579,566,2243,2243.02,54112.88
